"id","timestamp","memory_usage_percent"
623,"2025-09-15 09:56:56.522166+00","33.34"
625,"2025-09-15 09:56:57.521557+00","33.37"
627,"2025-09-15 09:56:58.535232+00","33.39"
629,"2025-09-15 09:56:59.522289+00","33.42"
631,"2025-09-15 09:57:00.523409+00","33.43"
633,"2025-09-15 09:57:01.522569+00","33.51"
635,"2025-09-15 09:57:03.768639+00","33.54"
637,"2025-09-15 09:57:04.7671+00","33.55"
639,"2025-09-15 09:57:05.76654+00","33.57"
641,"2025-09-15 09:57:06.764859+00","33.60"
643,"2025-09-15 09:57:07.764597+00","33.59"
645,"2025-09-15 09:57:08.764298+00","33.62"
647,"2025-09-15 09:57:09.765836+00","33.63"
649,"2025-09-15 09:57:10.765282+00","33.67"
651,"2025-09-15 09:57:11.766712+00","33.68"
653,"2025-09-15 09:57:12.769856+00","33.70"
655,"2025-09-15 09:57:13.765061+00","33.70"
657,"2025-09-15 09:57:14.76514+00","33.72"
659,"2025-09-15 09:57:15.765614+00","33.73"
661,"2025-09-15 09:57:16.765529+00","33.74"
663,"2025-09-15 09:57:17.76577+00","33.74"
665,"2025-09-15 09:57:18.764707+00","33.73"
667,"2025-09-15 09:57:19.765442+00","33.73"
669,"2025-09-15 09:57:20.764535+00","33.74"
671,"2025-09-15 09:57:21.764521+00","33.75"
673,"2025-09-15 09:57:22.767291+00","33.75"
675,"2025-09-15 09:57:23.765488+00","33.75"
677,"2025-09-15 09:57:24.765426+00","33.75"
679,"2025-09-15 09:57:25.766287+00","33.76"
681,"2025-09-15 09:57:26.766834+00","33.76"
683,"2025-09-15 09:57:27.76502+00","33.77"
685,"2025-09-15 09:57:28.764985+00","33.78"
687,"2025-09-15 09:57:29.764676+00","33.77"
689,"2025-09-15 09:57:30.764756+00","33.77"
691,"2025-09-15 09:57:31.764826+00","33.77"
693,"2025-09-15 09:57:32.771261+00","33.81"
695,"2025-09-15 09:57:35.117068+00","33.82"
697,"2025-09-15 09:57:36.1165+00","33.81"
699,"2025-09-15 09:57:37.116999+00","33.82"
701,"2025-09-15 09:57:38.117828+00","33.82"
703,"2025-09-15 09:57:39.116236+00","33.82"
705,"2025-09-15 09:57:40.12013+00","33.87"
707,"2025-09-15 09:57:41.11669+00","33.86"
709,"2025-09-15 09:57:44.239453+00","35.03"
