"id","timestamp","memory_usage_percent"
673,"2025-09-15 12:15:14.496276+00","39.26"
675,"2025-09-15 12:15:15.495248+00","39.31"
677,"2025-09-15 12:15:16.494045+00","39.30"
679,"2025-09-15 12:15:17.498161+00","39.28"
681,"2025-09-15 12:15:20.640516+00","39.94"
683,"2025-09-15 12:15:21.206262+00","43.23"
685,"2025-09-15 12:15:21.530847+00","42.64"
687,"2025-09-15 12:15:21.704811+00","41.37"
689,"2025-09-15 12:15:22.551256+00","39.32"
691,"2025-09-15 12:15:23.492131+00","36.45"
693,"2025-09-15 12:15:24.492546+00","36.42"
695,"2025-09-15 12:15:25.506666+00","36.39"
697,"2025-09-15 12:15:26.493507+00","36.39"
699,"2025-09-15 12:15:27.500576+00","36.39"
701,"2025-09-15 12:15:28.49304+00","36.39"
703,"2025-09-15 12:15:29.50592+00","36.39"
705,"2025-09-15 12:15:30.499271+00","36.39"
707,"2025-09-15 12:15:31.496833+00","36.39"
709,"2025-09-15 12:15:32.502649+00","36.39"
711,"2025-09-15 12:15:33.493475+00","36.38"
713,"2025-09-15 12:15:34.493865+00","36.38"
715,"2025-09-15 12:15:35.500539+00","36.35"
717,"2025-09-15 12:15:36.499724+00","36.38"
719,"2025-09-15 12:15:37.493062+00","36.37"
721,"2025-09-15 12:15:38.49254+00","36.18"
723,"2025-09-15 12:15:39.500452+00","36.16"
725,"2025-09-15 12:15:40.495247+00","36.16"
727,"2025-09-15 12:15:41.492115+00","36.15"
729,"2025-09-15 12:15:42.492672+00","36.15"
731,"2025-09-15 12:15:43.495673+00","36.24"
733,"2025-09-15 12:15:44.509179+00","36.24"
735,"2025-09-15 12:15:45.494154+00","36.26"
737,"2025-09-15 12:15:46.492388+00","36.28"
739,"2025-09-15 12:15:47.513044+00","36.28"
741,"2025-09-15 12:15:48.490321+00","35.95"
743,"2025-09-15 12:15:49.494982+00","35.95"
745,"2025-09-15 12:15:50.510138+00","35.93"
747,"2025-09-15 12:15:51.505486+00","35.93"
749,"2025-09-15 12:15:52.497829+00","35.93"
751,"2025-09-15 12:15:53.509405+00","35.92"
753,"2025-09-15 12:15:54.493158+00","35.92"
755,"2025-09-15 12:15:55.518059+00","35.92"
757,"2025-09-15 12:15:56.516211+00","35.93"
759,"2025-09-15 12:15:57.514547+00","35.93"
761,"2025-09-15 12:15:58.492491+00","35.93"
763,"2025-09-15 12:15:59.510711+00","35.93"
765,"2025-09-15 12:16:00.499912+00","35.93"
767,"2025-09-15 12:16:01.507232+00","35.93"
769,"2025-09-15 12:16:02.514913+00","35.93"
771,"2025-09-15 12:16:03.505216+00","35.93"
773,"2025-09-15 12:16:04.51261+00","35.93"
775,"2025-09-15 12:16:05.504548+00","35.93"
777,"2025-09-15 12:16:06.506517+00","35.93"
779,"2025-09-15 12:16:07.519105+00","35.90"
781,"2025-09-15 12:16:08.522518+00","35.90"
783,"2025-09-15 12:16:09.51329+00","35.90"
785,"2025-09-15 12:16:10.519254+00","35.90"
787,"2025-09-15 12:16:11.501673+00","35.90"
789,"2025-09-15 12:16:12.508524+00","35.90"
791,"2025-09-15 12:16:13.511222+00","35.99"
793,"2025-09-15 12:16:14.523021+00","35.99"
795,"2025-09-15 12:16:15.50174+00","36.03"
797,"2025-09-15 12:16:16.518386+00","35.99"
